Date,Price,Open,High,Low,Change %,
13-Mar-91,1.3018,1.3016,1.3108,1.2995,-0.36%,TRUE
12-Mar-91,1.3065,1.306,1.3138,1.3017,0.33%,TRUE
11-Mar-91,1.3022,1.302,1.3104,1.2955,-0.96%,TRUE
8-Mar-91,1.3148,1.3145,1.331,1.3145,-1.00%,TRUE
7-Mar-91,1.3281,1.328,1.3373,1.328,-0.53%,TRUE
6-Mar-91,1.3352,1.335,1.3377,1.3255,-0.17%,TRUE
5-Mar-91,1.3375,1.337,1.3467,1.335,-0.10%,TRUE
4-Mar-91,1.3388,1.3386,1.3395,1.3304,0.17%,TRUE
1-Mar-91,1.3365,1.3363,1.3471,1.3355,-0.68%,TRUE
28-Feb-91,1.3457,1.3455,1.3588,1.3455,-0.43%,TRUE
27-Feb-91,1.3515,1.351,1.3548,1.3472,0.16%,TRUE
26-Feb-91,1.3493,1.3492,1.3662,1.3465,-0.27%,TRUE
25-Feb-91,1.353,1.3528,1.3675,1.3522,-1.18%,TRUE
22-Feb-91,1.3692,1.3687,1.387,1.3687,-0.94%,TRUE
21-Feb-91,1.3822,1.382,1.3848,1.3749,0.41%,TRUE
20-Feb-91,1.3765,1.3763,1.3844,1.374,-0.39%,TRUE
19-Feb-91,1.3819,1.3816,1.3916,1.3796,-0.37%,TRUE
18-Feb-91,1.3871,1.3866,1.3947,1.386,-0.32%,TRUE
15-Feb-91,1.3915,1.391,1.403,1.389,-0.54%,TRUE
14-Feb-91,1.3991,1.3986,1.412,1.3981,-0.74%,TRUE
13-Feb-91,1.4095,1.409,1.4133,1.406,-0.21%,TRUE
12-Feb-91,1.4125,1.412,1.4193,1.41,-0.43%,TRUE
11-Feb-91,1.4186,1.4181,1.4217,1.4079,0.72%,TRUE
8-Feb-91,1.4085,1.4083,1.4122,1.404,-0.70%,TRUE
7-Feb-91,1.4185,1.418,1.4193,1.4092,0.18%,TRUE
6-Feb-91,1.4159,1.4157,1.4172,1.409,0.60%,TRUE
5-Feb-91,1.4075,1.407,1.4075,1.4019,0.43%,TRUE
4-Feb-91,1.4015,1.401,1.4093,1.3967,0.09%,TRUE
1-Feb-91,1.4003,1.4001,1.4027,1.388,0.51%,TRUE
31-Jan-91,1.3932,1.3927,1.3932,1.382,0.66%,TRUE
30-Jan-91,1.384,1.3837,1.3841,1.3742,-0.25%,TRUE
29-Jan-91,1.3874,1.3872,1.3925,1.384,0.25%,TRUE
28-Jan-91,1.384,1.3835,1.3865,1.381,0.07%,TRUE
25-Jan-91,1.383,1.3829,1.3881,1.3806,-0.22%,TRUE
24-Jan-91,1.3861,1.386,1.3921,1.3845,0.14%,TRUE
23-Jan-91,1.3842,1.384,1.3842,1.3715,0.41%,TRUE
22-Jan-91,1.3786,1.3781,1.3872,1.3756,-0.19%,TRUE
21-Jan-91,1.3812,1.381,1.3834,1.3641,0.54%,TRUE
18-Jan-91,1.3738,1.3735,1.3746,1.3565,0.84%,TRUE
17-Jan-91,1.3624,1.3622,1.3632,1.3325,1.95%,TRUE
16-Jan-91,1.3363,1.336,1.3396,1.332,-0.07%,TRUE
15-Jan-91,1.3373,1.337,1.3422,1.337,-0.37%,TRUE
14-Jan-91,1.3423,1.3418,1.3448,1.3315,-0.29%,TRUE
11-Jan-91,1.3462,1.346,1.3532,1.3425,-0.51%,TRUE
10-Jan-91,1.3531,1.3528,1.3584,1.346,-0.76%,TRUE
9-Jan-91,1.3635,1.363,1.364,1.3339,1.51%,TRUE
8-Jan-91,1.3432,1.343,1.3453,1.337,-0.25%,TRUE
7-Jan-91,1.3465,1.3455,1.3627,1.336,-1.54%,TRUE
4-Jan-91,1.3675,1.367,1.3825,1.367,-0.74%,TRUE
3-Jan-91,1.3777,1.3775,1.3807,1.374,0.03%,TRUE
2-Jan-91,1.3773,1.377,1.3822,1.3675,0.75%,TRUE
31-Dec-90,1.367,1.3665,1.3705,1.3579,0.71%,TRUE
28-Dec-90,1.3574,1.3569,1.3595,1.345,1.26%,TRUE
27-Dec-90,1.3405,1.34,1.3445,1.3335,0.49%,TRUE
26-Dec-90,1.3339,1.3334,1.3339,1.3334,0.00%,TRUE
25-Dec-90,1.3339,1.3334,1.3339,1.3334,0.00%,TRUE
24-Dec-90,1.3339,1.3334,1.3585,1.3334,-0.49%,TRUE
21-Dec-90,1.3405,1.34,1.3615,1.339,-1.71%,TRUE
20-Dec-90,1.3638,1.363,1.3856,1.363,-1.40%,TRUE
19-Dec-90,1.3832,1.383,1.3882,1.377,0.35%,TRUE
18-Dec-90,1.3784,1.3781,1.3815,1.3756,0.07%,TRUE
17-Dec-90,1.3775,1.3772,1.3922,1.376,-0.47%,TRUE
14-Dec-90,1.384,1.3835,1.3912,1.38,-0.21%,TRUE
13-Dec-90,1.3869,1.3867,1.3923,1.385,0.01%,TRUE
12-Dec-90,1.3868,1.3865,1.3929,1.386,-0.09%,TRUE
11-Dec-90,1.3881,1.3876,1.3961,1.3865,-0.45%,TRUE
10-Dec-90,1.3944,1.3942,1.4026,1.393,0.37%,TRUE
7-Dec-90,1.3893,1.389,1.3902,1.3784,0.73%,TRUE
6-Dec-90,1.3792,1.3791,1.3811,1.369,0.69%,TRUE
5-Dec-90,1.3698,1.3695,1.3776,1.3694,0.00%,TRUE
4-Dec-90,1.3698,1.3695,1.3741,1.3588,0.61%,TRUE
3-Dec-90,1.3615,1.361,1.3795,1.3605,-0.69%,TRUE
30-Nov-90,1.371,1.3708,1.3735,1.3655,-1.20%,TRUE
29-Nov-90,1.3876,1.3874,1.3901,1.381,-0.18%,TRUE
28-Nov-90,1.3901,1.3899,1.3982,1.3876,-0.29%,TRUE
27-Nov-90,1.3942,1.394,1.3958,1.385,0.80%,TRUE
26-Nov-90,1.3832,1.3829,1.3914,1.3822,-0.40%,TRUE
23-Nov-90,1.3888,1.3883,1.3955,1.3879,-0.49%,TRUE
22-Nov-90,1.3956,1.3954,1.3982,1.3922,0.19%,TRUE
21-Nov-90,1.3929,1.3927,1.3998,1.3925,-0.27%,TRUE
20-Nov-90,1.3967,1.396,1.3983,1.3938,-0.13%,TRUE
19-Nov-90,1.3985,1.398,1.4026,1.3967,0.00%,TRUE
16-Nov-90,1.3985,1.3982,1.4009,1.3875,0.42%,TRUE
15-Nov-90,1.3927,1.3922,1.3965,1.3893,0.06%,TRUE
14-Nov-90,1.3918,1.3915,1.3962,1.39,-0.02%,TRUE
13-Nov-90,1.3921,1.3919,1.3982,1.39,0.04%,TRUE
12-Nov-90,1.3915,1.391,1.3952,1.39,0.32%,TRUE
9-Nov-90,1.387,1.3865,1.3883,1.3805,-0.09%,TRUE
8-Nov-90,1.3882,1.3875,1.3927,1.381,-0.31%,TRUE
7-Nov-90,1.3925,1.3923,1.3979,1.384,0.08%,TRUE
6-Nov-90,1.3914,1.3911,1.3937,1.3837,0.12%,TRUE
5-Nov-90,1.3897,1.3895,1.3897,1.381,0.96%,TRUE
2-Nov-90,1.3765,1.376,1.3797,1.3722,0.18%,TRUE
1-Nov-90,1.374,1.3735,1.374,1.3563,0.44%,TRUE
31-Oct-90,1.368,1.3675,1.369,1.3624,0.23%,TRUE
30-Oct-90,1.3648,1.3643,1.3677,1.3563,-0.10%,TRUE
29-Oct-90,1.3662,1.3655,1.3758,1.3655,-0.04%,TRUE
26-Oct-90,1.3668,1.3665,1.3685,1.3615,-0.16%,TRUE
25-Oct-90,1.369,1.368,1.3757,1.368,-0.31%,TRUE
24-Oct-90,1.3733,1.373,1.3733,1.361,0.64%,TRUE
23-Oct-90,1.3645,1.364,1.3685,1.3585,0.04%,TRUE
22-Oct-90,1.3639,1.3637,1.376,1.3637,-0.88%,TRUE
19-Oct-90,1.376,1.3755,1.3854,1.3695,0.55%,TRUE
18-Oct-90,1.3685,1.368,1.3753,1.365,0.08%,TRUE
17-Oct-90,1.3674,1.3673,1.3735,1.3663,-0.08%,TRUE
16-Oct-90,1.3685,1.3683,1.3685,1.3535,0.55%,TRUE
15-Oct-90,1.361,1.3608,1.3651,1.3552,-0.15%,TRUE
12-Oct-90,1.363,1.3625,1.3684,1.3605,0.09%,TRUE
11-Oct-90,1.3618,1.3616,1.3618,1.3495,0.39%,TRUE
10-Oct-90,1.3565,1.356,1.3633,1.3535,-0.26%,TRUE
9-Oct-90,1.36,1.3595,1.3635,1.3555,0.76%,TRUE
8-Oct-90,1.3497,1.3493,1.3532,1.339,1.05%,TRUE
5-Oct-90,1.3357,1.3345,1.3487,1.3345,-0.62%,TRUE
4-Oct-90,1.344,1.3436,1.3472,1.337,0.37%,TRUE
3-Oct-90,1.339,1.3385,1.3399,1.3306,0.66%,TRUE
2-Oct-90,1.3302,1.33,1.3312,1.3204,0.13%,TRUE
1-Oct-90,1.3285,1.328,1.3336,1.316,0.99%,TRUE
28-Sep-90,1.3155,1.3153,1.3206,1.3135,0.23%,TRUE
27-Sep-90,1.3125,1.312,1.3203,1.3115,-0.33%,TRUE
26-Sep-90,1.3169,1.3167,1.3303,1.313,-0.72%,TRUE
25-Sep-90,1.3265,1.326,1.3337,1.323,-0.29%,TRUE
24-Sep-90,1.3304,1.3302,1.3304,1.3122,1.27%,TRUE
21-Sep-90,1.3137,1.313,1.3188,1.311,0.05%,TRUE
20-Sep-90,1.3131,1.3128,1.3354,1.3105,-0.64%,TRUE
19-Sep-90,1.3215,1.321,1.3375,1.3188,-1.12%,TRUE
18-Sep-90,1.3365,1.3363,1.3415,1.33,0.17%,TRUE
17-Sep-90,1.3342,1.3341,1.3346,1.3188,1.18%,TRUE
14-Sep-90,1.3186,1.3183,1.3272,1.3019,1.31%,TRUE
13-Sep-90,1.3015,1.3012,1.3129,1.298,-0.30%,TRUE
12-Sep-90,1.3054,1.3052,1.3115,1.3,0.15%,TRUE
11-Sep-90,1.3035,1.303,1.325,1.2956,-0.40%,TRUE
10-Sep-90,1.3088,1.308,1.3253,1.308,-0.92%,TRUE
7-Sep-90,1.321,1.3205,1.3335,1.3205,-0.61%,TRUE
6-Sep-90,1.3291,1.3288,1.3342,1.327,0.42%,TRUE
5-Sep-90,1.3235,1.323,1.3252,1.3118,1.13%,TRUE
4-Sep-90,1.3087,1.3085,1.3156,1.3055,0.03%,TRUE
3-Sep-90,1.3083,1.308,1.3295,1.3051,-0.59%,TRUE
31-Aug-90,1.316,1.3155,1.332,1.3136,-0.81%,TRUE
30-Aug-90,1.3268,1.3265,1.3342,1.3225,-0.74%,TRUE
29-Aug-90,1.3367,1.3362,1.3402,1.334,-0.10%,TRUE
28-Aug-90,1.338,1.3375,1.344,1.3355,-0.17%,TRUE
27-Aug-90,1.3403,1.3401,1.3462,1.3355,0.11%,TRUE
24-Aug-90,1.3388,1.3383,1.341,1.3315,0.40%,TRUE
23-Aug-90,1.3335,1.333,1.3456,1.327,0.42%,TRUE
22-Aug-90,1.3279,1.3277,1.3363,1.3235,0.42%,TRUE
21-Aug-90,1.3224,1.3222,1.3348,1.319,-0.65%,TRUE
20-Aug-90,1.331,1.3306,1.3352,1.3275,-0.45%,TRUE
17-Aug-90,1.337,1.3365,1.339,1.3315,0.79%,TRUE
16-Aug-90,1.3265,1.326,1.3297,1.3225,-0.30%,TRUE
15-Aug-90,1.3305,1.33,1.3371,1.3247,0.45%,TRUE
14-Aug-90,1.3245,1.3243,1.3245,1.3135,0.48%,TRUE
13-Aug-90,1.3182,1.318,1.3203,1.3128,1.01%,TRUE
10-Aug-90,1.305,1.3045,1.308,1.2982,0.04%,TRUE
9-Aug-90,1.3045,1.3043,1.3113,1.303,-0.02%,TRUE
8-Aug-90,1.3048,1.304,1.3118,1.297,-0.56%,TRUE
7-Aug-90,1.3121,1.3119,1.3196,1.3099,-0.27%,TRUE
6-Aug-90,1.3157,1.3152,1.32,1.3007,1.25%,TRUE
3-Aug-90,1.2995,1.2993,1.3054,1.2965,-0.11%,TRUE
2-Aug-90,1.3009,1.3006,1.3085,1.279,0.03%,TRUE
1-Aug-90,1.3005,1.3003,1.3056,1.299,-0.32%,TRUE
31-Jul-90,1.3047,1.3045,1.3047,1.2875,1.32%,TRUE
30-Jul-90,1.2877,1.2875,1.2908,1.2843,0.33%,TRUE
27-Jul-90,1.2835,1.2834,1.2841,1.273,0.55%,TRUE
26-Jul-90,1.2765,1.2762,1.2805,1.2712,-0.08%,TRUE
25-Jul-90,1.2775,1.277,1.2807,1.2723,0.03%,TRUE
24-Jul-90,1.2771,1.2769,1.2771,1.272,0.24%,TRUE
23-Jul-90,1.274,1.2735,1.274,1.2635,0.92%,TRUE
20-Jul-90,1.2624,1.2622,1.2666,1.2602,-0.05%,TRUE
19-Jul-90,1.263,1.2625,1.2636,1.2559,0.12%,TRUE
18-Jul-90,1.2615,1.261,1.2665,1.259,0.28%,TRUE
17-Jul-90,1.258,1.2575,1.258,1.2488,0.37%,TRUE
16-Jul-90,1.2534,1.2532,1.2609,1.2471,-0.55%,TRUE
13-Jul-90,1.2603,1.26,1.2643,1.256,1.03%,TRUE
12-Jul-90,1.2475,1.2473,1.251,1.2452,-0.52%,TRUE
11-Jul-90,1.254,1.2538,1.2637,1.253,-0.52%,TRUE
10-Jul-90,1.2605,1.2604,1.2651,1.2538,0.32%,TRUE
9-Jul-90,1.2565,1.256,1.259,1.251,0.43%,TRUE
6-Jul-90,1.2511,1.2509,1.2535,1.248,-0.19%,TRUE
5-Jul-90,1.2535,1.253,1.2569,1.25,-0.21%,TRUE
4-Jul-90,1.2561,1.2559,1.2574,1.2534,0.44%,TRUE
3-Jul-90,1.2506,1.2504,1.2508,1.2448,0.33%,TRUE
2-Jul-90,1.2465,1.246,1.2493,1.2391,0.81%,TRUE
29-Jun-90,1.2365,1.236,1.241,1.2327,-0.07%,TRUE
28-Jun-90,1.2374,1.2373,1.2433,1.236,-0.17%,TRUE
27-Jun-90,1.2395,1.2393,1.2437,1.2385,0.36%,TRUE
26-Jun-90,1.235,1.2345,1.2364,1.2273,0.39%,TRUE
25-Jun-90,1.2302,1.2297,1.2335,1.2285,-0.15%,TRUE
22-Jun-90,1.232,1.2315,1.232,1.2275,0.11%,TRUE
21-Jun-90,1.2307,1.2303,1.2314,1.2263,0.01%,TRUE
20-Jun-90,1.2306,1.2305,1.2344,1.225,-0.31%,TRUE
19-Jun-90,1.2344,1.2342,1.2355,1.2273,0.32%,TRUE
18-Jun-90,1.2305,1.23,1.2325,1.2175,0.99%,TRUE
15-Jun-90,1.2184,1.2179,1.2211,1.2105,-0.52%,TRUE
14-Jun-90,1.2248,1.2245,1.2254,1.2171,0.67%,TRUE
13-Jun-90,1.2167,1.2164,1.2206,1.2155,-0.23%,TRUE
12-Jun-90,1.2195,1.219,1.2212,1.2165,0.47%,TRUE
11-Jun-90,1.2138,1.2135,1.2184,1.211,0.21%,TRUE
8-Jun-90,1.2113,1.2109,1.2167,1.209,-0.19%,TRUE
7-Jun-90,1.2136,1.2133,1.2199,1.2125,-0.28%,TRUE
6-Jun-90,1.217,1.2167,1.2225,1.2149,-0.15%,TRUE
5-Jun-90,1.2188,1.2184,1.2224,1.2093,0.17%,TRUE
4-Jun-90,1.2167,1.2164,1.219,1.2057,0.59%,TRUE
1-Jun-90,1.2096,1.2092,1.2226,1.2077,-0.17%,TRUE
31-May-90,1.2117,1.2114,1.2233,1.2083,-0.69%,TRUE
30-May-90,1.2201,1.2197,1.2315,1.219,-0.56%,TRUE
29-May-90,1.227,1.2267,1.2315,1.224,0.24%,TRUE
28-May-90,1.2241,1.2239,1.2262,1.2234,0.25%,TRUE
25-May-90,1.2211,1.2207,1.2269,1.2185,0.16%,TRUE
24-May-90,1.2192,1.2187,1.233,1.2174,-0.50%,TRUE
23-May-90,1.2253,1.2249,1.2359,1.222,-0.24%,TRUE
22-May-90,1.2283,1.2279,1.2342,1.2265,-0.37%,TRUE
21-May-90,1.2329,1.2325,1.2436,1.2314,-0.70%,TRUE
18-May-90,1.2416,1.2412,1.2454,1.239,0.00%,TRUE
17-May-90,1.2416,1.2412,1.2521,1.2385,-0.01%,TRUE
16-May-90,1.2417,1.2413,1.247,1.2365,-0.01%,TRUE
15-May-90,1.2418,1.2414,1.247,1.2392,-0.24%,TRUE
14-May-90,1.2448,1.2444,1.2471,1.2407,-0.08%,TRUE
11-May-90,1.2458,1.2455,1.254,1.2434,-0.54%,TRUE
10-May-90,1.2526,1.2522,1.2532,1.2427,0.25%,TRUE
9-May-90,1.2495,1.2491,1.253,1.2358,1.14%,TRUE
8-May-90,1.2354,1.235,1.2392,1.2332,-0.09%,TRUE
7-May-90,1.2365,1.2361,1.2397,1.2295,0.56%,TRUE
4-May-90,1.2296,1.2292,1.231,1.2178,1.04%,TRUE
3-May-90,1.217,1.2167,1.2201,1.2135,0.12%,TRUE
2-May-90,1.2155,1.2151,1.2182,1.213,-0.24%,TRUE
1-May-90,1.2184,1.218,1.2197,1.2133,-0.03%,TRUE
30-Apr-90,1.2188,1.2185,1.2212,1.2147,0.02%,TRUE
27-Apr-90,1.2186,1.2182,1.2225,1.2128,0.08%,TRUE
26-Apr-90,1.2176,1.2172,1.221,1.215,-0.11%,TRUE
25-Apr-90,1.219,1.2187,1.2207,1.207,1.11%,TRUE
24-Apr-90,1.2056,1.2053,1.2096,1.2022,0.07%,TRUE
23-Apr-90,1.2047,1.2044,1.2097,1.2037,-0.59%,TRUE
20-Apr-90,1.2119,1.2116,1.2188,1.2095,-0.39%,TRUE
19-Apr-90,1.2167,1.2164,1.2235,1.2141,-0.35%,TRUE
18-Apr-90,1.221,1.2206,1.2234,1.2154,0.29%,TRUE
17-Apr-90,1.2175,1.2171,1.2191,1.2138,0.03%,TRUE
16-Apr-90,1.2171,1.2167,1.2199,1.2137,-0.32%,TRUE
13-Apr-90,1.221,1.2207,1.2224,1.2198,-0.07%,TRUE
12-Apr-90,1.2218,1.2215,1.2243,1.218,-0.03%,TRUE
11-Apr-90,1.2222,1.2218,1.2239,1.21,0.10%,TRUE
10-Apr-90,1.221,1.2206,1.2217,1.2075,1.03%,TRUE
9-Apr-90,1.2086,1.2082,1.2113,1.2065,0.15%,TRUE
6-Apr-90,1.2068,1.2065,1.2096,1.2034,0.26%,TRUE
5-Apr-90,1.2037,1.2033,1.206,1.203,0.00%,TRUE
4-Apr-90,1.2037,1.2034,1.2062,1.2031,-0.11%,TRUE
3-Apr-90,1.205,1.2047,1.2054,1.2006,0.27%,TRUE
2-Apr-90,1.2018,1.2015,1.2041,1.1977,-0.39%,TRUE
30-Mar-90,1.2065,1.2061,1.213,1.202,-0.07%,TRUE
29-Mar-90,1.2073,1.207,1.2073,1.1975,0.95%,TRUE
28-Mar-90,1.1959,1.1956,1.2001,1.1919,0.16%,TRUE
27-Mar-90,1.194,1.1936,1.198,1.1905,-0.20%,TRUE
26-Mar-90,1.1964,1.196,1.2002,1.187,0.41%,TRUE
23-Mar-90,1.1915,1.1912,1.1978,1.19,-0.44%,TRUE
22-Mar-90,1.1968,1.1965,1.1992,1.1904,0.55%,TRUE
