,date,security,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1327,2015-05-06,NIFTY Index,8316.6,8331.95,8083.0,8097.0
1328,2015-05-07,NIFTY Index,8077.0,8122.6,7997.15,8057.3
1329,2015-05-08,NIFTY Index,8131.5,8224.95,8123.45,8191.5
1330,2015-05-11,NIFTY Index,8243.2,8332.75,8224.65,8325.25
1331,2015-05-12,NIFTY Index,8326.15,8326.65,8115.3,8126.95
1332,2015-05-13,NIFTY Index,8181.55,8254.95,8089.8,8235.45
1333,2015-05-14,NIFTY Index,8232.45,8236.25,8137.3,8224.2
1334,2015-05-15,NIFTY Index,8240.3,8279.2,8212.2,8262.35
1335,2015-05-18,NIFTY Index,8284.95,8384.6,8271.95,8373.65
1336,2015-05-19,NIFTY Index,8356.2,8427.8,8335.0,8365.65
1337,2015-05-20,NIFTY Index,8392.65,8440.35,8391.45,8423.25
1338,2015-05-21,NIFTY Index,8434.5,8446.35,8382.5,8421.0
1339,2015-05-22,NIFTY Index,8432.5,8489.55,8420.6,8458.95
1340,2015-05-25,NIFTY Index,8438.15,8441.95,8364.15,8370.25
1341,2015-05-26,NIFTY Index,8377.1,8378.9,8320.05,8339.35
1342,2015-05-27,NIFTY Index,8302.75,8342.85,8277.95,8334.6
1343,2015-05-28,NIFTY Index,8345.7,8364.5,8270.15,8319.0
1344,2015-05-29,NIFTY Index,8327.1,8443.9,8305.7,8433.65
1345,2015-06-01,NIFTY Index,8417.25,8467.15,8405.4,8433.4
1346,2015-06-02,NIFTY Index,8442.8,8445.35,8226.05,8236.45
1347,2015-06-03,NIFTY Index,8232.45,8236.7,8094.15,8135.1
1348,2015-06-04,NIFTY Index,8155.15,8160.05,8056.75,8130.65
1349,2015-06-05,NIFTY Index,8119.15,8191.0,8100.15,8114.7
1350,2015-06-08,NIFTY Index,8124.35,8131.0,8030.55,8044.15
1351,2015-06-09,NIFTY Index,8026.5,8057.15,8005.15,8022.4
1352,2015-06-10,NIFTY Index,8024.15,8152.25,8023.8,8124.45
1353,2015-06-11,NIFTY Index,8157.3,8163.05,7958.25,7965.35
1354,2015-06-12,NIFTY Index,7959.85,7995.6,7940.3,7982.9
1355,2015-06-15,NIFTY Index,7986.6,8057.7,7944.85,8013.9
1356,2015-06-16,NIFTY Index,8004.2,8061.85,7952.35,8047.3
1357,2015-06-17,NIFTY Index,8084.2,8136.85,8048.95,8091.55
1358,2015-06-18,NIFTY Index,8113.7,8186.9,8101.8,8174.6
1359,2015-06-19,NIFTY Index,8201.15,8250.8,8195.65,8224.95
1360,2015-06-22,NIFTY Index,8259.3,8369.45,8257.4,8353.1
1361,2015-06-23,NIFTY Index,8377.45,8398.45,8334.95,8381.55
1362,2015-06-24,NIFTY Index,8399.4,8421.35,8338.9,8360.85
1363,2015-06-25,NIFTY Index,8336.25,8423.15,8329.5,8398.0
1364,2015-06-26,NIFTY Index,8393.95,8408.55,8339.7,8381.1
1365,2015-06-29,NIFTY Index,8247.05,8329.45,8195.65,8318.4
1366,2015-06-30,NIFTY Index,8316.35,8378.0,8298.95,8368.5
1367,2015-07-01,NIFTY Index,8376.25,8481.6,8370.15,8453.05
1368,2015-07-02,NIFTY Index,8471.95,8479.25,8433.2,8444.9
1369,2015-07-03,NIFTY Index,8440.1,8497.75,8424.15,8484.9
1370,2015-07-06,NIFTY Index,8386.15,8533.15,8386.15,8522.15
1371,2015-07-07,NIFTY Index,8525.5,8561.35,8483.85,8510.8
1372,2015-07-08,NIFTY Index,8439.2,8457.5,8341.4,8363.05
1373,2015-07-09,NIFTY Index,8364.85,8400.3,8323.0,8328.55
1374,2015-07-10,NIFTY Index,8365.7,8377.1,8315.4,8360.55
1375,2015-07-13,NIFTY Index,8397.25,8471.65,8355.4,8459.65
1376,2015-07-14,NIFTY Index,8470.6,8480.25,8424.1,8454.1
1377,2015-07-15,NIFTY Index,8463.4,8531.4,8462.95,8523.8
1378,2015-07-16,NIFTY Index,8546.15,8616.1,8542.9,8608.05
1379,2015-07-17,NIFTY Index,8623.65,8642.95,8593.15,8609.85
1380,2015-07-20,NIFTY Index,8623.9,8624.1,8559.0,8603.45
1381,2015-07-21,NIFTY Index,8601.5,8646.75,8517.9,8529.45
1382,2015-07-22,NIFTY Index,8512.25,8643.9,8498.65,8633.5
1383,2015-07-23,NIFTY Index,8643.95,8654.75,8573.8,8589.8
1384,2015-07-24,NIFTY Index,8588.15,8589.15,8513.5,8521.55
1385,2015-07-27,NIFTY Index,8492.1,8492.2,8351.55,8361.0
1386,2015-07-28,NIFTY Index,8371.1,8397.4,8321.75,8337.0
1387,2015-07-29,NIFTY Index,8365.6,8381.5,8338.45,8375.05
1388,2015-07-30,NIFTY Index,8417.0,8458.9,8408.3,8421.8
1389,2015-07-31,NIFTY Index,8456.1,8548.95,8448.0,8532.85
1390,2015-08-03,NIFTY Index,8510.65,8563.95,8508.1,8543.05
1391,2015-08-04,NIFTY Index,8564.1,8565.15,8448.25,8516.9
1392,2015-08-05,NIFTY Index,8547.45,8591.85,8545.85,8567.95
1393,2015-08-06,NIFTY Index,8585.8,8606.3,8551.5,8588.65
1394,2015-08-07,NIFTY Index,8580.8,8595.95,8552.7,8564.6
1395,2015-08-10,NIFTY Index,8577.0,8621.55,8497.8,8525.6
1396,2015-08-11,NIFTY Index,8548.45,8556.25,8441.3,8462.35
1397,2015-08-12,NIFTY Index,8445.7,8446.95,8337.95,8349.45
1398,2015-08-13,NIFTY Index,8384.45,8429.5,8339.75,8355.85
1399,2015-08-14,NIFTY Index,8402.35,8530.1,8381.2,8518.55
1400,2015-08-17,NIFTY Index,8530.5,8530.6,8428.05,8477.3
1401,2015-08-18,NIFTY Index,8505.85,8525.75,8433.6,8466.55
1402,2015-08-19,NIFTY Index,8468.05,8520.45,8425.95,8495.15
1403,2015-08-20,NIFTY Index,8471.05,8501.35,8359.75,8372.75
1404,2015-08-21,NIFTY Index,8305.4,8322.2,8225.05,8299.95
1405,2015-08-24,NIFTY Index,8055.95,8060.05,7769.4,7809.0
1406,2015-08-25,NIFTY Index,7895.4,7925.4,7667.25,7880.7
1407,2015-08-26,NIFTY Index,7865.25,7930.05,7777.1,7791.85
1408,2015-08-27,NIFTY Index,7921.6,7963.6,7862.3,7948.95
1409,2015-08-28,NIFTY Index,8053.7,8091.8,7961.65,8001.95
1410,2015-08-31,NIFTY Index,8009.25,8043.6,7947.95,7971.3
1411,2015-09-01,NIFTY Index,7907.95,7929.1,7746.5,7785.85
1412,2015-09-02,NIFTY Index,7856.65,7862.55,7699.25,7717.0
1413,2015-09-03,NIFTY Index,7774.45,7845.6,7754.05,7823.0
1414,2015-09-04,NIFTY Index,7803.4,7804.9,7626.85,7655.05
1415,2015-09-07,NIFTY Index,7685.85,7705.05,7545.9,7558.8
1416,2015-09-08,NIFTY Index,7587.7,7720.9,7539.5,7688.25
1417,2015-09-09,NIFTY Index,7805.85,7846.05,7764.55,7818.6
1418,2015-09-10,NIFTY Index,7729.05,7819.85,7678.5,7788.1
1419,2015-09-11,NIFTY Index,7833.8,7864.85,7759.9,7789.3
1420,2015-09-14,NIFTY Index,7811.1,7879.95,7761.85,7872.25
1421,2015-09-15,NIFTY Index,7867.35,7880.0,7799.75,7829.1
1422,2015-09-16,NIFTY Index,7886.85,7913.9,7853.3,7899.15
1423,2015-09-18,NIFTY Index,7967.45,8055.0,7955.85,7981.9
1424,2015-09-21,NIFTY Index,7911.5,7987.9,7908.35,7977.1
1425,2015-09-22,NIFTY Index,8014.8,8021.6,7787.75,7812.0
1426,2015-09-23,NIFTY Index,7737.35,7882.9,7723.25,7845.95
1427,2015-09-24,NIFTY Index,7838.4,7894.5,7804.1,7868.5
1428,2015-09-28,NIFTY Index,7892.8,7893.95,7787.95,7795.7
1429,2015-09-29,NIFTY Index,7725.7,7926.55,7691.2,7843.3
1430,2015-09-30,NIFTY Index,7924.25,7957.7,7874.5,7948.9
1431,2015-10-01,NIFTY Index,7992.05,8008.25,7930.65,7950.9
